Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803070.240932,34.0886,3.2341,-0.9885,0.004268,-0.002483,0.076329,-0.99707,0.001,-0.0003,-0.0,-0.00101,0.00248,0.00014,-0.0508,-0.0942,9.8144,4,1,1,1,-1
1770803070.2905314,34.0886,3.2341,-0.9885,0.004268,-0.002483,0.076329,-0.99707,0.001,-0.0003,-0.0,0.0,-0.00237,-0.00056,-0.0428,-0.0908,9.8112,4,1,1,1,-1
1770803070.341624,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,-0.00024,0.00012,-0.00024,-0.0458,-0.0936,9.8111,4,1,1,1,-1
1770803070.3916218,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,-0.00106,-0.0001,-0.00066,-0.0435,-0.0917,9.8108,4,1,1,1,-1
1770803070.4413583,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,0.00011,-0.00266,-4e-05,-0.0443,-0.0903,9.8146,4,1,1,1,-1
1770803070.4910705,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,-0.00052,-0.002,-0.00048,-0.056,-0.0977,9.812,4,1,1,1,-1
1770803070.5401824,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,0.00034,-0.00171,0.00015,-0.0567,-0.0909,9.8059,4,1,1,1,-1
1770803070.5949297,34.0884,3.2342,-0.9884,0.004287,-0.002498,0.076324,-0.997071,0.0001,-0.0004,0.0001,0.00106,-0.0017,0.00014,-0.0599,-0.0984,9.8176,4,1,1,1,-1
1770803070.639553,34.0883,3.2342,-0.9884,0.004291,-0.00243,0.076349,-0.997069,0.0007,-0.0004,-0.0,0.00017,-0.00267,-0.00017,-0.049,-0.1015,9.8088,4,1,1,1,-1
1770803070.6959946,34.0883,3.2342,-0.9884,0.004291,-0.00243,0.076349,-0.997069,0.0007,-0.0004,-0.0,0.00197,-0.00212,-0.00028,-0.0595,-0.0988,9.8211,4,1,1,1,-1
1770803070.7400684,34.0883,3.2342,-0.9884,0.004291,-0.00243,0.076349,-0.997069,0.0007,-0.0004,-0.0,-0.00071,0.00267,6e-05,-0.0339,-0.0897,9.8029,4,1,1,1,-1
1770803070.7979991,34.0883,3.2342,-0.9884,0.004291,-0.00243,0.076349,-0.997069,0.0007,-0.0004,-0.0,0.00042,-0.00164,-0.00041,-0.0362,-0.0884,9.8082,4,1,1,1,-1
1770803070.8400948,34.0883,3.2342,-0.9884,0.004291,-0.00243,0.076349,-0.997069,0.0007,-0.0004,-0.0,-0.00182,0.0021,0.00023,-0.0382,-0.0918,9.8057,4,1,1,1,-1
1770803070.8909304,34.0884,3.2342,-0.9885,0.004286,-0.002345,0.076371,-0.997068,0.0002,-0.0003,0.0002,0.00066,-0.00144,-4e-05,-0.0499,-0.0899,9.8078,4,1,1,1,-1
